tokipona,sitelenpona,sitelenJuniko,sitelenpilin,sitelenjelo,sitelensitelen,roots,mnemonic,etymology,gloss:Noun,gloss:Verb,gloss:Adjective,pu/ku/kulupu,related,rootsAlt
:,,,➗,,🜽,O _,,,,,,,,
!,,,,,,⊿ _ M,,,,,,,,
.,,,➖,,,_ _,,,,,,,,
(name),,,,🖌️,,[ _,,,,,,(capitalized / Tokiponized),,
(question),,,,,,＝ ᴤ _,,,,,,,seme,
(quote),,,,,,[ M,,,,,,(demarcated with quotes),,
a,,a,❗️,🅰️,,A ＝,,,,,(emphasizes preceding word),(emphasis) … (address??),kin mute,[
akesi,,äӪӫ,🦎,🐸,,A ＝ W,,"nl: hagedis ""lizard""",lizard / reptile / amphibian; non-mammal,,[rare] not-cute,"""not-cute"" animal",kala monsuta pipi soweli,
ala,,X,🚫,,,E U U,la (ar),ka: ara,"zero, nothing","do nothing, nullify, annihilate",not,"no, (Y/N: verb)",ali ale lon,
alasa,,Đᙫ,🏹,,,⊿ O ⊿,,fr: a la chasse,,"hunt, chase, strive for",,,lukin,
ale,,∞ᢁ,♾️,🌌,,U O,all,,"everything, universe",to commodify??,all,,ala lon kulupu,
anpa,,⩦⨪ụﺏḤ,⬇️,🧎🙇,,U ~,en-bas,"fr: en bas ""below""","bottom, floor",depend?,downward; low; lowly / humble / dependent / subservient? submissive?,,lawa sewi,
ante,,⩆⌥ꭓ,🔀,,,ᴤ ⊿,other,"nl: ander ""other""","difference, change, alteration","change, modify","different, changed, other-than",,,
anu,,Y,✖️,🤷,,ᴤ ᴤ,,"ka: an ""or""",[rare] choice / decision,[rare] choose / decide,,or,en sama,
apeja,,ポ,😢,,,,,"fi: hapea ""shame""",shame; feeling of being broken?,"disgrace, dishonor, shame, disrespect, expose, single-out, doxx?",shameful; bad-feeling?,,pona,
awen,,ᘯΩ∆,⚓️,,,＝ O,wait'n,,wait / stay; endurance; protection,"stay / remain / wait, endure, continue, [tr] keep / retain; protect",enduring / permanent; stationary; protected,"[intj] ""amen! / may it be so""",,
e,,⪼⪢⨠≫»⟫,⏩,,,[ K ⩍,is,,,,,[pred / obj separator],,
en,,+,➕,🤝,,E E,and,ANd,,,,and (bt subj.s),anu,
epiku,,,,😁,,E ⊿ ⩍,epic,(ja),awe / wonder,become or make epic,epic / awesome / wonderful,,,
esun,,ℒ£,🛒,,,O O U,échange,,trade / market / shop; transaction,exchange / trade,business-y; traded / exchanged,,,
ijo,,O,🐚,,,I O ◎,object,eo: IO,thing / object; something / anything; 事 / situation / matter,do; objectify,,,jan tenpo,
ike,,◠,👎,😔,,☻ O M,icky,,evil / badness; negativity,to suck; [tr] to worsen,bad; unhealthy; contrariwise,"[intj] ""woe / alas""",pona,
ilo,,⎅,⚙️,🔦,,O L ＝,tool,eo: ILO,tool / implement; device / machine,use,,,kepeken,
insa,,⨃⊡⧢⏍,🎯,🗳️,,◎ ＝,inside,,contents; center / core; stomach / internal organs,insert / put inside,inner / inside; central / core,,monsi noka poka sinpin,
jaki,,ゑぬ☈,💩,,,I A K,yucky,YUCKY,dirt; trash / pollution; infection / disease,dirty / soil; pollute,gross / disgusting; dirty / toxic; obscene / repulsive; dangerous?,"[intj] ""ew / yuck / gross""",ike nasa,
jan,,ᙉ,👤,🧑,,⩍ P ⊹,人 (zh),zh: 人 REN,person / human / being; anybody / someone,personalize; anthropomorphize,human; personal,[term of address],meli mije sijelo soweli tonsi,
